# session code, date, session, scheduled NYALE13S, scheduled NYALES20
R11053, 2022-05-31, XA, 1912, 2443
R41053, 2022-06-02, XE, 1243, 1592
R11054, 2022-06-07, XA, 1506, 1876
R41054, 2022-06-09, XE, 1279, 1585
R11055, 2022-06-13, XA, 1694, 2140
R41055, 2022-06-16, XE, 1297, 1572
R11056, 2022-06-21, XA, 1555, 1091
R41056, 2022-06-23, XE, 1150, 1386
R11057, 2022-06-27, XA, 1349, 1912
R41057, 2022-06-30, XE, 1040, 1384
R11058, 2022-07-04, XA, 1281, 1104
R41058, 2022-07-06, XE, 1101, 1365
R11059, 2022-07-11, XA, 1274,  820
R41059, 2022-07-14, XE, 1081, 1379
R11060, 2022-07-18, XA,  951, 1040
R41060, 2022-07-21, XE, 1045, 1514
R11061, 2022-07-25, XA, 1220, 1445
R41061, 2022-07-28, XE, 1124, 1383
R11062, 2022-08-01, XA, 1007, 1916
R41062, 2022-08-03, XE, 1044, 1361
R11063, 2022-08-08, XA, 1934, 2806
R41063, 2022-08-11, XE, 1355, 1908
R11064, 2022-08-16, XA, 1819, 2392
R41064, 2022-08-18, XE,  993, 1369
R11065, 2022-08-22, XA, 1626, 2509
R41065, 2022-08-25, XE, 1121, 1394
R11066, 2022-08-29, XA, 2194, 2971
R41066, 2022-09-01, XE, 1258, 1444
R11067, 2022-09-05, XA, 1734, 2568
R41067, 2022-09-08, XE, 1084, 1386
R11068, 2022-09-12, XA, 2024, 2783
R41068, 2022-09-15, XE, 1208, 1533
R11069, 2022-09-19, XA, 1222, 1907
R41069, 2022-09-22, XE,  984, 1322
R11070, 2022-09-26, XA, 1442, 2385
R41070, 2022-09-29, XE, 1153, 1386
R11071, 2022-10-04, XA, 1810, 2551
R41071, 2022-10-06, XE, 1187, 1373
R11072, 2022-10-11, XA, 1109, 1587
R41072, 2022-10-13, XE, 1100, 1367
R11073, 2022-10-17, XA, 1612, 2515
R41073, 2022-10-20, XE,  951, 1389
R11074, 2022-10-24, XA,  972, 1386
R41074, 2022-10-26, XE,  954, 1764
R11075, 2022-10-31, XA, 1131, 1687
R41075, 2022-11-03, XE,  843, 1137
R11076, 2022-11-07, XA, 1308, 1828
